state_fips,county_fips,census_year,pnsp_year,harvested_cropland_acres,group_acres,coverage,n_crop_groups,n_suppressed_crop_records,shannon_H,effective_n_crops,top1_share,top3_share,dominant_crop,stratum,high_input_acres,high_input_share,total_kg_high,insecticide_kg_high,neonic_kg_high,insecticide_kg_low,insecticide_g_per_acre_high,insecticide_g_per_acre_low,total_g_per_acre_high
13,27,2017,2018,77557.0,78568.0,1.013036,11,2,1.632926,5.11883,0.480552,0.758489,Cotton,Southern row crops,60915.0,0.775316,448895.2,24464.4,958.0,16753.3,315.437678,216.012739,5787.939193
13,31,2017,2018,112363.0,114733.0,1.021092,10,3,1.251665,3.496158,0.545092,0.87884,Cotton,Southern row crops,97374.0,0.848701,1164162.4,18180.8,304.4,5892.3,161.804153,52.43986,10360.727286
13,33,2017,2018,102428.0,105135.0,1.026428,13,0,1.684218,5.388235,0.333191,0.774709,Cotton,Southern row crops,63329.0,0.602359,1048705.6,16415.6,276.6,5686.6,160.264771,55.518022,10238.466044
13,37,2017,2018,59519.0,58616.0,0.984828,7,4,1.418753,4.131966,0.368432,0.875136,Peanuts,Southern row crops,46024.0,0.785178,234207.5,17512.6,516.8,15842.8,294.235454,266.180547,3935.003948
13,43,2017,2018,18424.0,17840.0,0.968302,6,4,1.225173,3.404754,0.534305,0.895796,Cotton,Southern row crops,12353.0,0.692433,148886.3,3301.1,34.1,1093.6,179.173904,59.35736,8081.106166
13,55,2017,2018,12899.0,12407.0,0.961858,6,3,0.544175,1.723186,0.847344,0.993552,Hay & haylage,Hay & small grains,80.0,0.006448,8504.6,177.6,3.1,151.6,13.768509,11.752849,659.322428
13,61,2017,2018,19610.0,18263.0,0.931311,5,5,1.194355,3.301427,0.440618,0.910858,Cotton,Southern row crops,14548.0,0.796583,97304.1,6883.6,222.8,5966.2,351.024987,304.242733,4961.963284
13,69,2017,2018,86101.0,85989.0,0.998699,9,4,1.332418,3.790196,0.495494,0.886148,Cotton,Southern row crops,73473.0,0.854446,501437.2,24183.5,1172.3,18678.2,280.873625,216.933601,5823.825507
13,71,2017,2018,112217.0,116633.0,1.039352,12,2,1.596797,4.937194,0.429981,0.82715,Cotton,Southern row crops,100656.0,0.863015,938713.3,38269.3,1934.0,29319.6,341.029434,261.275921,8365.16125
13,75,2017,2018,43101.0,41701.0,0.967518,9,3,1.327834,3.772863,0.508309,0.862138,Cotton,Southern row crops,36899.0,0.884847,204913.3,12972.3,532.1,9348.4,300.974455,216.8952,4754.258602
13,81,2017,2018,60524.0,60568.0,1.000727,10,5,1.282592,3.605975,0.583014,0.87363,Cotton,Southern row crops,56286.0,0.929303,259711.1,20905.4,769.8,14751.4,345.406781,243.728108,4291.043223
13,87,2017,2018,120774.0,124745.0,1.03288,12,1,1.471662,4.35647,0.37054,0.855497,Cotton,Southern row crops,107440.0,0.861277,556114.5,39107.1,1135.1,34798.3,323.803964,288.127412,4604.587908
13,91,2017,2018,28091.0,26657.0,0.948952,7,5,1.422346,4.146839,0.486176,0.84113,Cotton,Southern row crops,19608.0,0.735567,133367.6,7114.7,516.9,5920.8,253.27329,210.772133,4747.698551
13,93,2017,2018,109944.0,112680.0,1.024885,10,2,1.223705,3.39976,0.634496,0.865424,Cotton,Southern row crops,97101.0,0.861741,439070.2,35553.4,1306.2,27974.7,323.377356,254.44499,3993.580368
13,95,2017,2018,20697.0,20628.0,0.996666,6,4,1.211932,3.35997,0.592253,0.874394,Orchards (fruit & tree nuts),Specialty (veg / orchard / berry),18080.0,0.876479,45071.4,2927.4,96.3,2642.4,141.440789,127.670677,2177.677924
13,99,2017,2018,69236.0,69596.0,1.0052,8,4,1.326226,3.766799,0.42751,0.8911,Cotton,Southern row crops,56076.0,0.805736,432427.5,31230.4,999.7,28785.2,451.071697,415.75481,6245.703102
13,103,2017,2018,22425.0,21261.0,0.948094,8,4,1.317885,3.735514,0.426085,0.890504,Cotton,Southern row crops,16136.0,0.758948,136798.2,2471.2,36.0,865.1,110.198439,38.57748,6100.254181
13,105,2017,2018,14461.0,14510.0,1.003388,7,1,0.955648,2.600354,0.64907,0.978704,Hay & haylage,Hay & small grains,309.0,0.021296,20898.3,540.6,3.2,337.5,37.383307,23.338635,1445.149022
13,107,2017,2018,37552.0,38552.0,1.02663,11,1,1.477441,4.38172,0.517042,0.822603,Cotton,Southern row crops,28471.0,0.738509,417836.1,7599.8,117.3,2574.6,202.380699,68.560929,11126.866745
13,109,2017,2018,12763.0,12681.0,0.993575,7,1,1.590032,4.903906,0.431117,0.760192,Cotton,Southern row crops,10429.0,0.822411,24068.9,1698.3,52.1,752.8,133.064327,58.982998,1885.834052
13,115,2017,2018,17159.0,16737.0,0.975406,6,2,0.787123,2.197066,0.735317,0.994921,Hay & haylage,Hay & small grains,85.0,0.005079,15470.6,322.4,7.0,230.6,18.788974,13.439012,901.602657
13,119,2017,2018,15138.0,14935.0,0.98659,7,1,0.46449,1.591202,0.890927,0.981989,Hay & haylage,Hay & small grains,48.0,0.003214,12828.2,82.3,0.2,28.4,5.436649,1.876073,847.417096
13,129,2017,2018,25904.0,22034.0,0.850602,6,6,0.8514,2.342924,0.695743,0.9941,Hay & haylage,Hay & small grains,130.0,0.0059,17319.8,324.7,0.5,278.4,12.534744,10.747375,668.614886
13,131,2017,2018,57555.0,57128.0,0.992581,11,3,1.708352,5.519855,0.384715,0.766244,Cotton,Southern row crops,39109.0,0.684585,309323.4,19821.7,657.9,18510.8,344.395795,321.619321,5374.396664
13,139,2017,2018,11319.0,11248.0,0.993727,5,3,0.566154,1.761479,0.768048,0.997511,Hay & haylage,Hay & small grains,45.0,0.004001,8182.1,109.4,0.0,64.7,9.665165,5.716053,722.864211
13,147,2017,2018,20670.0,21158.0,1.023609,7,3,0.822798,2.27686,0.731496,0.982134,Hay & haylage,Hay & small grains,113.0,0.005341,27947.5,229.3,1.1,24.1,11.093372,1.165941,1352.08031
13,153,2017,2018,15135.0,14753.0,0.97476,9,5,1.728415,5.631723,0.288213,0.756253,Cotton,Southern row crops,8715.0,0.590727,109363.1,6365.9,423.4,4886.8,420.607863,322.88074,7225.840766
13,155,2017,2018,64693.0,65441.0,1.011562,10,3,1.239516,3.453941,0.500604,0.920447,Cotton,Southern row crops,57522.0,0.87899,307441.1,22241.2,1015.5,16462.0,343.796083,254.463389,4752.308596
13,157,2017,2018,15749.0,14888.0,0.94533,8,1,0.343849,1.410365,0.931824,0.979312,Hay & haylage,Hay & small grains,288.0,0.019344,6700.9,26.2,0.8,36.9,1.663598,2.343006,425.480983
