normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
2BENZOTRIAZOLE,,2-(2'-HYDROXY-5-METHYL PHENYL)-BENZOTRIAZOLE,2607,,,1
2BROMO4HYDROXYACETOPHENONE,,2-BROMO-4-HYDROXYACETOPHENONE,969,,,1
2BUTANONEOXIME,,2-BUTANONE OXIME,3071,,,1
2BUTOXYETHANOL,,2-BUTOXYETHANOL,89,,,1
2BUTOXYETHANOLPHOSPHATE,,2-BUTOXYETHANOL PHOSPHATE,3073,,,1
2CHLORO4ISOPROPYLAMINO6AMINOSTRIAZINE,,2-CHLORO-4-ISOPROPYLAMINO-6-AMINO-S-TRIAZINE,6048,,,1
2CHLORO4PHENYLPHENOL,,"2-CHLORO-4-PHENYLPHENOL|2-CHLORO-4-PHENYLPHENOL, POTASSIUM SALT|2-CHLORO-4-PHENYLPHENOL, SODIUM SALT",1061|1632|846,,,1
2CHLORONACETAMIDE,,"2-CHLORO-N-(2,6-DIETHYLPHENYL)ACETAMIDE|2-CHLORO-N-(HYDROXYMETHYL)ACETAMIDE",2079|6042,,,1
2CHLOROPYRIDINENOXIDE,,2-CHLOROPYRIDINE-N-OXIDE,2466,,,1
2CHLOROSALICYLANILIDE,,2-CHLORO-SALICYLANILIDE,2055,,,1
2CYCLOPENTEN1ONE3METHYL22PENTENYL,,"2-CYCLOPENTEN-1-ONE, 3-METHYL-2-(2Z)-2-PENTENYL-",6456,,,1
2DIETHYLAMINOETHANOL,,2-DIETHYL AMINO ETHANOL,3145,,,1
2DIMETHYLAMINE,,"2-(2,4-DP), DIMETHYLAMINE SALT",2247,,,1
2DIMETHYLETHYL5AMINO134THIADIAZOLE,,"2-DIMETHYLETHYL-5-AMINO-1,3,4-THIADIAZOLE",5996,,,1
2DIMETHYLETHYL5METHYLAMINO134THIADIAZOL,,"2-DIMETHYLETHYL-5-METHYLAMINO-1,3,4-THIADIAZOL",5994,,,1
2ETHANAMINEHYDROCHLORIDE,,"2-(DECYLTHIO)ETHANAMINE, HYDROCHLORIDE SALT",3987,,,1
