compound,pesticide_class,class_source
PYRIMETHANIL,FUNGICIDE,nass_domaincat
PYRIOFENONE,FUNGICIDE,nass_domaincat
PYRIPROXYFEN,INSECTICIDE,nass_domaincat
PYRITHIOBAC-SODIUM,HERBICIDE,nass_domaincat
PYROXASULFONE,HERBICIDE,nass_domaincat
PYROXSULAM,HERBICIDE,nass_domaincat
Pyroxsulam,HERBICIDE,nass_domaincat
QUINCLORAC,HERBICIDE,nass_domaincat
QUINOXYFEN,UNCLASSIFIED,none
QUINTOZENE,FUNGICIDE,manual
QUIZALOFOP,HERBICIDE,manual
REYNOUTRIA SACHALINENSIS,UNCLASSIFIED,none
RIMSULFURON,HERBICIDE,nass_domaincat
ROTENONE,INSECTICIDE,nass_domaincat
RYANODINE,UNCLASSIFIED,none
SABADILLA,INSECTICIDE,nass_domaincat
SAFLUFENACIL,HERBICIDE,nass_domaincat
SEDAXANE,FUNGICIDE,nass_domaincat
SETHOXYDIM,HERBICIDE,nass_domaincat
SILICATES,OTHER,manual
SIMAZINE,HERBICIDE,nass_domaincat
SODIUM ARSENITE,UNCLASSIFIED,none
SODIUM CHLORATE,OTHER,nass_domaincat
SODIUM METABORATE,HERBICIDE,nass_domaincat
SPINETORAM,INSECTICIDE,nass_domaincat
SPINOSYN,INSECTICIDE,manual
SPIRODICLOFEN,OTHER,nass_domaincat
SPIROMESIFEN,INSECTICIDE,nass_domaincat
SPIROTETRAMAT,INSECTICIDE,nass_domaincat
STEINERNEMA CARPOCAP,UNCLASSIFIED,none
STEINERNEMA RIOBRAVI,UNCLASSIFIED,none
STREPTOMYCES LYDICUS,FUNGICIDE,nass_domaincat
STREPTOMYCIN,FUNGICIDE,nass_domaincat
SUCROSE OCTANOATE,INSECTICIDE,nass_domaincat
SULFALLATE,UNCLASSIFIED,none
SULFCARBAMIDE,OTHER,manual
SULFENTRAZONE,HERBICIDE,nass_domaincat
SULFOMETURON,UNCLASSIFIED,none
SULFOSATE,HERBICIDE,nass_domaincat
SULFOSULFURON,HERBICIDE,nass_domaincat
SULFOXAFLOR,INSECTICIDE,nass_domaincat
SULFUR,FUNGICIDE,nass_domaincat
SULFURIC ACID,OTHER,nass_domaincat
SULPROFOS,INSECTICIDE,nass_domaincat
TCA,UNCLASSIFIED,none
TCMTB,UNCLASSIFIED,none
TEBUCONAZOLE,FUNGICIDE,nass_domaincat
TEBUFENOZIDE,INSECTICIDE,nass_domaincat
TEBUPIRIMPHOS,INSECTICIDE,nass_domaincat
TEBUTHIURON,HERBICIDE,nass_domaincat
TEFLUTHRIN,INSECTICIDE,nass_domaincat
TEMBOTRIONE,HERBICIDE,nass_domaincat
TEMEPHOS,UNCLASSIFIED,none
TERBACIL,HERBICIDE,nass_domaincat
TERBUFOS,INSECTICIDE,nass_domaincat
TERBUTRYN,HERBICIDE,nass_domaincat
TETRABOROHYDRATE,UNCLASSIFIED,none
TETRACONAZOLE,FUNGICIDE,nass_domaincat
TETRAOXOSULFATE,UNCLASSIFIED,none
TETRATHIOCARBONATE,UNCLASSIFIED,none
THIABENDAZOLE,UNCLASSIFIED,none
THIACLOPRID,INSECTICIDE,nass_domaincat
THIAMETHOXAM,INSECTICIDE,nass_domaincat
THIAZOPYR,HERBICIDE,nass_domaincat
THIDIAZURON,OTHER,nass_domaincat
THIENCARBAZONE-METHYL,HERBICIDE,manual
THIFENSULFURON,HERBICIDE,nass_domaincat
THIOBENCARB,HERBICIDE,nass_domaincat
THIODICARB,INSECTICIDE,nass_domaincat
THIOPHANATE-METHYL,FUNGICIDE,nass_domaincat
THIRAM,FUNGICIDE,nass_domaincat
TOLFENPYRAD,INSECTICIDE,nass_domaincat
TOPRAMEZONE,HERBICIDE,nass_domaincat
TRALKOXYDIM,HERBICIDE,nass_domaincat
TRALOMETHRIN,INSECTICIDE,nass_domaincat
TRI-ALLATE,HERBICIDE,nass_domaincat
TRIADIMEFON,FUNGICIDE,nass_domaincat
TRIADIMENOL,UNCLASSIFIED,none
TRIASULFURON,HERBICIDE,nass_domaincat
TRIAZAMATE,UNCLASSIFIED,none
TRIBENURON METHYL,HERBICIDE,nass_domaincat
TRIBUFOS,OTHER,nass_domaincat
TRICHLORFON,INSECTICIDE,nass_domaincat
TRICLOPYR,HERBICIDE,nass_domaincat
TRIDIPHANE,HERBICIDE,nass_domaincat
TRIFLOXYSTROBIN,FUNGICIDE,nass_domaincat
TRIFLOXYSULFURON,UNCLASSIFIED,none
TRIFLUMIZOLE,FUNGICIDE,nass_domaincat
TRIFLURALIN,HERBICIDE,nass_domaincat
TRIFLUSULFURON,UNCLASSIFIED,none
TRIFORINE,FUNGICIDE,nass_domaincat
TRIMETHACARB,INSECTICIDE,nass_domaincat
TRINEXAPAC,UNCLASSIFIED,none
TRITICONAZOLE,FUNGICIDE,nass_domaincat
VERNOLATE,HERBICIDE,nass_domaincat
VINCLOZOLIN,FUNGICIDE,nass_domaincat
ZETA-CYPERMETHRIN,INSECTICIDE,nass_domaincat
ZINC,OTHER,manual
ZINEB,FUNGICIDE,nass_domaincat
ZIRAM,FUNGICIDE,nass_domaincat
ZOXAMIDE,FUNGICIDE,nass_domaincat
