normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
MSMA,MSMA,34,,DTXSID2025686,exact,
MYCLOBUTANIL,MYCLOBUTANIL,2245,180.443,DTXSID8024315,exact,
MYROTHECIUMVERRUCARIA,MYROTHECIUM VERRUCARIA,,,DTXSID001061332,exact,
NALED,NALED,418,180.215,DTXSID1024209,exact,
NAPHTHYLACETAMIDE,NAPHTHYLACETAMIDE,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
NAPHTHYLACETIC,NAPHTHYLACETIC ACID,,,DTXSID8020915,exact,
NAPROPAMIDE,NAPROPAMIDE,1728,180.328,DTXSID5024211,exact,
NAPTALAM,NAPTALAM,2998|437,,DTXSID6032437,exact,
NEEMOIL,NEEM OIL,,,DTXSID70107838,exact,
NICOSULFURON,NICOSULFURON,3829,180.454,DTXSID6034764,exact,
NORFLURAZON,NORFLURAZON,2019,180.356,DTXSID8024234,exact,
NOSEMALOCUSTAECANN,NOSEMA LOCUSTAE CANN,,,,none,"biological agent - not a single substance, correctly absent from a chemical registry"
NOVALURON,NOVALURON,5754,180.598,DTXSID5034773,exact,
ORTHOSULFAMURON,ORTHOSULFAMURON,5904,180.625,DTXSID4034788,exact,
ORYZALIN,ORYZALIN,1868,180.304,DTXSID8024238,exact,
OXADIAZON,OXADIAZON,2017,,DTXSID3024239,exact,
OXAMYL,OXAMYL,1910,180.303,DTXSID6021086,exact,
OXYDEMETONMETHYL,OXYDEMETON-METHYL,382,,DTXSID8025541,exact,
OXYFLUORFEN,OXYFLUORFEN,1973,180.381,DTXSID7024241,exact,
OXYTETRACYCLINE,OXYTETRACYCLINE,,180.337,DTXSID1034260,exact,
PACLOBUTRAZOL,PACLOBUTRAZOL,2259,,DTXSID2024242,exact,
PARAQUAT,PARAQUAT,,180.205,DTXSID3034799,exact,
PARATHION,PARATHION,459,,DTXSID7021100,exact,
PELARGONIC,PELARGONIC ACID,,,DTXSID3021641,exact,
PENDIMETHALIN,PENDIMETHALIN,1929,180.361,DTXSID7024245,exact,
PENOXSULAM,PENOXSULAM,5889,180.605,DTXSID0034803,exact,
PENTHIOPYRAD,PENTHIOPYRAD,6020,180.658,DTXSID6058005,exact,
PERMETHRIN,PERMETHRIN,2008,180.378,DTXSID8022292,exact,
PETROLEUMDISTILLATE,PETROLEUM DISTILLATE,,,DTXSID3028219,exact,
PETROLEUMOIL,PETROLEUM OIL,,,DTXSID3028219,exact,
PHENMEDIPHAM,PHENMEDIPHAM,675,180.278,DTXSID1024255,exact,
PHORATE,PHORATE,478,180.206,DTXSID4032459,exact,
PHOSMET,PHOSMET,335,180.261,DTXSID5024261,exact,
PHOSPHORIC,PHOSPHORIC ACID,871,,DTXSID5024263,exact,
PICLORAM,PICLORAM,5330|593,180.292,DTXSID1021160,exact,
PINOXADEN,PINOXADEN,5984,180.611,DTXSID8034823,exact,
PIPERONYLBUTOXIDE,PIPERONYL BUTOXIDE,486,180.127,DTXSID1021166,exact,
POLYHEDROSISVIRUS,POLYHEDROSIS VIRUS,,,,none,"biological agent - not a single substance, correctly absent from a chemical registry"
POLYOXORIM,POLYOXORIM,,,DTXSID30873865,exact,
POTASSIUMBICARBONATE,POTASSIUM BICARBONATE,5037,,DTXSID0021177,exact,
POTASSIUMOLEATE,POTASSIUM OLEATE,,,DTXSID0025949,exact,
PRIMISULFURON,PRIMISULFURON,,,DTXSID40150270,exact,
PRODIAMINE,PRODIAMINE,2236,,DTXSID1034210,exact,
PROFENOFOS,PROFENOFOS,2042,180.404,DTXSID3032464,exact,
PROHEXADIONE,PROHEXADIONE,,,DTXSID1043966,exact,
PROMETRYN,PROMETRYN,502,180.222,DTXSID4024272,exact,
PROPAMOCARBHCL,PROPAMOCARB HCL,,,DTXSID6034849,exact,
PROPANIL,PROPANIL,503,180.274,DTXSID8022111,exact,
PROPARGITE,PROPARGITE,445,180.259,DTXSID4024276,exact,
PROPAZINE,PROPAZINE,504,180.243,DTXSID3021196,exact,
PROPICONAZOLE,PROPICONAZOLE,2276,180.434,DTXSID8024280,exact,
PROPOXYCARBAZONE,PROPOXYCARBAZONE,,180.6,DTXSID8037704,exact,
PROPYZAMIDE,PROPYZAMIDE,694,180.317,DTXSID2020420,exact,
PROSULFURON,PROSULFURON,5115,180.481,DTXSID9034868,exact,
PROTHIOCONAZOLE,PROTHIOCONAZOLE,6005,180.626,DTXSID4034869,exact,
PSEUDOMONASFLUORESCENS,PSEUDOMONAS FLUORESCENS,,,DTXSID60897397,exact,
PYMETROZINE,PYMETROZINE,5232,180.556,DTXSID2032637,exact,
